Sample ID,Classifications,Cell Culture Media,LINE,Gender,Doubling time (hr),C4-POS RAW FILE,HILIC-POS RAW FILE,HILIC-NEG RAW FILE,glycine,alanine,serine,threonine,methionine,aspartate,glutamate,asparagine,glutamine,histidine,arginine,lysine,valine,leucine,isoleucine,phenylalanine,tyrosine,tryptophan,proline,cis/trans-hydroxyproline,ornithine,citrulline,taurine,5-HIAA,serotonin,GABA,acetylglycine,dimethylglycine,homocysteine,SDMA/ADMA,NMMA,allantoin,anthranilic acid,kynurenic acid,5-adenosylhomocysteine,carnosine,N-carbamoyl-beta-alanine,thiamine,niacinamide,betaine,choline,alpha-glycerophosphocholine,acetylcholine,creatine,creatinine,thyroxine,trimethylamine-N-oxide,hexoses (HILIC pos),adenosine,thymidine,xanthosine,2-deoxyadenosine,2-deoxycytidine,cotinine,pipecolic acid,pyroglutamic acid,1-methylnicotinamide,butyrobetaine,putrescine,methionine sulfoxide,carnitine,acetylcarnitine,propionylcarnitine,malonylcarnitine,butyrylcarnitine/isobutyrylcarnitine,valerylcarnitine/isovalerylcarnitine/2-methylbutyroylcarnitine,hexanoylcarnitine,heptanoylcarnitine,lauroylcarnitine,myristoylcarnitine,palmitoylcarnitine,stearoylcarnitine,oleylcarnitine,arachidonyl_carnitine,sarcosine,beta-alanine,anserine
TO175T_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,lymphoma_Hodgkin,DMEM + 10% FBS,Batch6_7,male,NA,0224_CCLE_Batch6_7_LIP-TO175T.wiff,0224_CCLE_Batch6_7_HIL-TO 175.T.wiff,0224_CCLE_Batch_6_7_CMH_TO-175-T.wiff,11644,104337,486364,1150194,549575,120298,2829350,57924,10179753,4065345,2132061,5208481,3665034,10156809,10512480,11510563,443785,1107377,3440486,18630,224052,21172,175475,691,5730,13816,933,59596,348,112064,7703,61571,937,8833,2186,26126,4437,4034692,754694,3142856,6990435,91560,,1635112,458059,455,9206,8744,29090,2680,6185,270,3060,6862,291,986376,9845448,323539,100553,37178,423012,882885,373321,5994,154899,200965,3409,746,234,1773,6533,2851,12121,529,1271,8540,695
HS852T_SKIN,melanoma,DMEM + 10% FBS,Batch_2,male,102.3978045,189-CCLE-Batch_2-LIP-Hs 852.T.wiff,189-CCLE-Batch_2-HIL-Hs 852.T.wiff,189-CCLE_Batch_2_-CMH-Hs 852-T.wiff,9427,197614,313645,697703,351596,158340,2148253,25808,6346885,1681330,1318268,2655154,2552184,7540328,7245363,8437534,292428,1235619,4801867,112527,263020,17465,293197,,1448,12080,1710,30977,1296,134663,,40852,452,5909,1079,18667,18674,2980649,487364,2247302,4088844,645618,,2380182,227513,,7786,,18225,,3992,2514,10650,21332,1911,556329,1394853,243054,380583,14895,166964,398969,172184,2817,244770,22159,8294,192,318,,9572,11522,,236,,,
PANC0327_PANCREAS,pancreas,RPMI 1640 + 15% FBS,Batch_2,female,55.38735648,188-CCLE-Batch_2-LIP-Panc 03.27.wiff,188-CCLE-Batch_2-HIL-Panc 03.27.wiff,188-CCLE_Batch_2_-CMH-Panc 03-27.wiff,6379,212295,181064,136863,184605,141755,1896057,329001,9881568,823118,3647767,580629,509989,2571392,4463223,3978705,144775,769617,6568163,333026,1586023,28780,369937,303,2902,118072,6675,100466,,387891,,174093,2953,18206,571,69119,13625,1553813,345740,7995564,7784328,754344,,1217135,864253,530,7949,,33687,5846,14185,9155,17502,9965,,671482,2471914,763612,1216031,26702,1294868,3165106,848093,16931,430590,767353,20617,1188,318,,15493,26799,,,2842,,
TE125T_SOFT_TISSUE,soft_tissue,EMEM + 10% FBS,Batch3,female,NA,0307-CCL_Batch3_LIP-TE125-T.wiff,307-CCLE-batch3-HIL-TE125T.wiff,0307-CCL_Batch_3_CMH-TE125-T.wiff,3633,181597,123091,376250,158841,139034,1050793,108072,3297543,3516418,2743344,1563280,1152744,4040878,3980360,4503611,162742,504847,2972719,43468,440941,13905,104266,957,1533,3215,1141,63925,,132487,7439,55676,1147,20248,625,24548,8386,859386,155673,2961619,3504887,39969,529495,368876,382692,271,13984,,813,7430,5497,,16073,2099,1835,465944,4178332,230508,58382,9083,369585,1475201,310937,6855,108269,70102,5242,721,450,1704,8271,2328,4661,,,5270,615
HS618T_LUNG,lung_NSC,DMEM + 10% FBS,Batch3,female,NA,0291-CCL_Batch3_LIP-Hs618-T.wiff,291-CCLE-batch3-HIL-Hs618T.wiff,0291-CCL_Batch_3_CMH-Hs618-T.wiff,10248,123345,484187,1079459,519634,118402,2762824,17459,8703029,2752339,1952826,3084573,3327130,9225842,9452273,9578927,393673,748748,2862547,35055,194261,15192,43164,631,11850,14630,1505,49846,572,137626,11356,59873,939,6236,760,21912,4704,3058316,576946,3405297,5669575,217861,6819,899703,488068,252,10038,8340,57869,13896,8612,4350,17546,7651,1267,992768,3354662,218576,389070,19997,368068,792639,320512,6804,103785,86534,8013,958,448,913,4257,1020,2896,514,,6048,591
BICR31_UPPER_AERODIGESTIVE_TRACT,upper_aerodigestive,DMEM + 20% FBS,Batch3,male,65.07439382,0289-CCL_Batch3_LIP-BICR31.wiff,289-CCLE-batch3-HIL-BICR 31.wiff,0289-CCL_Batch_3_CMH-BICR31.wiff,20408,588471,464569,1410185,677713,292304,3309607,45594,9303769,3523814,1566148,4801844,4997478,11416217,13846614,14488231,577568,1073644,3510208,111027,768805,49093,189303,866,1401,122229,2693,128672,6675,369567,33539,178315,5507,19984,2245,69808,10533,4573192,1024054,6810394,9180317,1498443,37174,2588060,1061646,916,11087,7965,33091,720,23362,2283,662,4706,5585,1644092,3113240,985898,1182896,46837,1361414,6955134,766076,21966,953012,201734,20172,2842,1447,2958,19549,4660,18274,904,4793,25295,1841
HS934T_SKIN,melanoma,DMEM + 10% FBS,Batch3,female,120,0287-CCL_Batch3_LIP-Hs934-T.wiff,287-CCLE-batch3-HIL-Hs934T.wiff,0287-CCL_Batch_3_CMH-Hs934-T.wiff,9653,84982,396425,898232,384423,70005,1722678,19113,6995064,2947443,1463847,3259514,2642664,7396025,8630993,8248486,323437,591107,1569396,31133,394164,15631,43439,,,5506,1292,39318,86,118160,7207,59590,1315,7533,663,23184,7513,2024907,563510,3565361,5776905,46125,6403,549780,387358,296,7371,7658,101205,4252,5822,426,28494,15864,2032,1012342,6634455,330708,163690,63959,423780,600304,198717,4372,73968,93749,4587,1435,538,3038,32459,18067,50024,312,,5278,668
TT_THYROID,thyroid,F12K + 10% FBS,Batch6_7,female,NA,0280-CCL_Batch3_LIP-T-T.wiff,0245_CCLE_Batch6_7_HIL-TT.wiff,0280-CCL_Batch_3_CMH-T-T.wiff,9664,326518,179270,285038,121229,219932,1469971,163494,5038185,3644671,2329137,2687510,1139212,2693204,965191,2261770,75592,367740,10554994,103174,8800351,41459,336377,5100,8890,29617,2258,99313,1115,416738,26468,142276,1757,31188,742,115198,1270,1124289,69808,7738009,15910740,404922,,1790504,848169,549,16686,9789,8119,8113,17874,4175,36415,8145,925,741037,23791,1197985,233593,12803,1917652,2922873,197366,5223,732006,58312,13402,2109,516,,7235,4134,2546,153,2425,10671,2259
CAL27_UPPER_AERODIGESTIVE_TRACT,upper_aerodigestive,DMEM + 10% FBS,Batch3,male,28.03239704,0246-CCL_Batch3_LIP-CAL27.wiff,246-CCLE-batch3-HIL-CAL 27.wiff,0246-CCL_Batch_3_CMH-CAL27.wiff,14803,446880,484237,1138357,568189,486434,3748439,40287,9505292,2692542,1830718,2809457,4407870,10066465,11707215,11847259,541455,1057748,5313880,45236,254373,13235,161087,769,1124,35961,1285,46795,5708,183044,13313,69115,6756,5207,2124,24630,8070,4126167,724157,3751171,5259851,145055,1690,3007466,709429,375,9113,10194,72829,4647,8532,5107,10653,19970,2814,1126823,258377,528915,1780895,39897,608063,2057094,987495,12693,1126550,184997,13802,1885,2451,2008,921,219,1115,385,4330,15796,838
SU8686_PANCREAS,pancreas,RPMI 1640 + 10% FBS,Batch3,female,37.41883631,0191-CCL_Batch3_LIP-SU-86-86.wiff,191-CCLE-batch3-HIL-SU86-86.wiff,0191-CCL_Batch_3_CMH-SU-86-86.wiff,16862,2119319,48578,300838,371482,356914,2348209,1459991,298243,3108538,5725608,555230,716718,6000282,7994432,3321022,232135,224815,21972372,1380044,948532,28844,1087548,1054,3861,81506,2484,153164,502,657493,44678,119108,179801,18298,2811,78649,74432,1997186,272515,7344167,2202066,3502759,4596,4146029,1044305,618,6350,,64013,5523,17276,3299,1668,51011,5061,713961,3053302,2374683,393240,40851,2264456,12033823,3213710,42316,822279,3291172,21854,1554,2698,1558,2119,958,5178,637,13956,104872,2413
HS863T_BONE,Ewings_sarcoma,DMEM + 10% FBS,Batch3,female,NA,0159-CCL_Batch3_LIP-Hs863-T.wiff,159-CCLE-batch3-HIL-Hs863T.wiff,0159-CCL_Batch_3_CMH-Hs863-T.wiff,7178,69903,338221,690414,404332,60972,1442764,14637,7197700,3032008,2234826,4435384,2263924,8089971,8240417,8792906,348524,759484,1628322,33765,545088,16223,52125,,,2544,684,41414,,154130,12713,76428,1223,19460,,31468,1541,4115847,702750,3164720,5629442,119111,108000,445923,475115,304,7505,2904,5012,14060,7023,86,4999,4489,,865742,4609809,197642,54467,24332,287824,697650,212711,4330,72858,56034,6958,884,259,1163,12045,5304,9851,,1073,4942,604
HS839T_SKIN,melanoma,DMEM + 10% FBS,Batch3,female,NA,0120-CCL_Batch3_LIP-Hs839-T.wiff,120-CCLE-batch3-HIL-Hs839T.wiff,0120-CCL_Batch_3_CMH-Hs839-T.wiff,14023,123989,410429,1054769,504990,97101,2098412,60826,8850513,3951550,2158959,4244035,3293862,8978778,9769104,10508839,430505,795719,3178703,44849,522534,24714,92584,,,6817,1830,51131,402,186430,13466,79880,1166,11310,1646,34941,24564,3929246,754286,4121333,6468811,37429,33903,1809369,516377,412,6597,5490,78198,6147,8338,478,16333,4698,1788,1207372,6999916,399474,233673,50750,585268,850443,435425,6829,89146,166234,5616,733,877,1732,13931,3103,12054,441,,6116,694
HCC827_LUNG,lung_NSC,RPMI 1640 + 10% FBS,Batch8,female,57.13865018,0088_CCLE_Batch8_LIP-HCC827.wiff,0088_CCLE_Batch_8_HIL_HCC827.wiff,0001-CCL_Batch_3_CMH-HCC827.wiff,9133,601861,454902,340460,376161,353140,2548488,540946,5008688,2069711,4286688,1388476,1275583,6870123,8057743,4798063,221240,429903,7869102,498051,1867658,20958,617356,598,6855,104800,1188,93915,2342,288862,15997,119467,8158,19258,2689,43697,20772,1996409,363682,5098903,7137998,244820,759617,3431809,878547,614,13624,3898,28137,2178,15259,1690,3995,2700,560,1020968,2326154,932367,1687328,31415,1554163,2767492,753065,31662,837342,510649,12831,2202,,2228,3311,1281,3220,364,5038,36662,1774
TE6_OESOPHAGUS,esophagus,RPMI 1640 + 10% FBS,Batch8,male,36.23346433,0087_CCLE_Batch8_LIP-TE6.wiff,0087_CCLE_Batch_8_HIL_TE6.wiff,0087_CCLE_Batch_8_CMH_TE6.wiff,4572,287731,67566,198424,168953,179871,2875263,468417,1883360,1350198,2643423,418901,652906,4008085,5109959,2703181,141202,408081,10854145,541486,705980,19825,508189,431,1683,161285,1204,66799,7464,253517,13072,116221,8505,15100,6193,31559,31414,869569,219775,3455468,5000419,197483,425120,4940603,774665,530,8061,,13176,6771,8660,23899,210705,5231,1281,725547,,571489,723955,28943,577388,2829507,513544,11998,3271730,197434,19108,1357,6199,11591,47925,4586,23639,,7417,40495,1019
PANC1005_PANCREAS,pancreas,RPMI 1640 + 15% FBS,Batch8,male,39.10674647,0086_CCLE_Batch8_LIP-PANC1005.wiff,0086_CCLE_Batch_8_HIL_PANC1005.wiff,0086_CCLE_Batch_8_CMH_PANC1005.wiff,6429,980784,181894,308523,286523,63318,1117113,397387,3485125,731166,3185431,253306,705986,2920868,5986795,4892864,255395,373162,10776125,885311,241226,18506,567788,,976,213748,2675,63043,1708,210541,12055,178451,3000,11434,576,28530,48672,1749675,343398,7600113,3077343,2110673,1000915,2394921,723229,809,8251,2222,20247,83322,9412,43026,18478,4844,1442,583605,441275,1310304,1868933,21716,1491083,7610582,1473756,35004,2348216,465653,23487,3618,4063,6513,8276,3024,5884,356,11076,63800,917
COLO684_ENDOMETRIUM,endometrium,RPMI 1640 + 10% FBS,Batch8,female,NA,0085_CCLE_Batch8_LIP-COLO684.wiff,0085_CCLE_Batch_8_HIL_COLO684.wiff,0085_CCLE_Batch_8_CMH_COLO684.wiff,7111,918235,49662,128444,60734,296230,4630406,298071,5878988,456443,989196,102750,372087,1494271,1936367,1115643,57520,112308,8778147,515239,156481,11546,1598267,296,1229,1069211,2005,31299,406,73402,4706,18097,705,322,47889,5771,3125,318400,50255,1550112,4086735,59350,555425,7074282,184127,32,4957,,75884,1633,2592,6231,186178,4459,,265170,2787,741930,892841,6330,972768,2674939,185880,48114,716889,1266690,8756,1380,743,3910,11265,1992,6536,314,,165861,231
COLO668_LUNG,lung_small_cell,RPMI 1640 + 10% FBS,Batch8,female,39.27870218,0084_CCLE_Batch8_LIP-COLO668.wiff,0084_CCLE_Batch_8_HIL_COLO668.wiff,0084_CCLE_Batch_8_CMH_COLO668.wiff,8564,1093189,113042,120164,40414,263355,2358464,158059,3030358,418967,946501,195884,244923,911879,1040729,594189,31661,77746,3467752,302573,418004,19265,628000,302,386,76247,1581,24274,,108633,6005,12717,792,1051,6925,17796,4458,796155,44157,3336385,3847643,73352,692714,1360165,90246,97,4413,537,81840,12417,6143,3581,29840,8615,,173751,14769,910806,582825,6993,795563,3757444,177680,39000,188119,147076,3519,509,983,7971,36175,2413,11972,542,,21441,641
5637_URINARY_TRACT,urinary_tract,RPMI 1640 + 10% FBS,Batch8,male,42.7558056,0083_CCLE_Batch8_LIP-X5637.wiff,0083_CCLE_Batch_8_HIL_X5637.wiff,0083_CCLE_Batch_8_CMH_X5637.wiff,10876,448766,212684,279571,315113,499211,3711701,633560,6102025,1833161,4125391,835416,822482,5073014,6212175,3161610,174406,281325,5793128,565647,682243,20784,318862,,,212330,1105,55289,2282,187208,15004,55864,9218,11080,3429,26883,4372,1533377,231165,3272016,3894797,332474,504348,4279098,680457,354,10009,2992,59768,38866,9640,17079,5598,5794,,787666,97043,661943,1306250,31453,1333395,2211266,471068,24771,1727106,1456903,17257,655,1469,770,2790,,2249,384,3622,36761,758
SUPT11_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,T-cell_lymphoma_other,RPMI 1640 + 10% FBS,Batch8,male,NA,0082_CCLE_Batch8_LIP-SUPT11.wiff,0082_CCLE_Batch_8_HIL_SUPT11.wiff,0082_CCLE_Batch_8_CMH_SUPT11.wiff,3472,38092,47629,44973,20515,121309,744512,67557,1174429,344525,905648,107489,161003,408556,459872,271686,14922,25992,704693,87238,158890,9424,143010,201,236,11655,814,9996,,22512,927,9252,1641,756,212,6408,,145609,28716,882697,862912,99017,52683,812288,59987,16,7378,615,5728,1468,692,17418,3176,6666,,77817,2344,65987,297027,5139,161676,100273,259202,2336,18675,96367,1196,,,,1753,250,426,,,,249
RVH421_SKIN,melanoma,RPMI 1640 + 10% FBS,Batch8,male,50.20704267,0081_CCLE_Batch8_LIP-RVH421.wiff,0081_CCLE_Batch_8_HIL_RVH421.wiff,0081_CCLE_Batch_8_CMH_RVH421.wiff,14165,2911473,68586,212055,312062,583668,6344766,1950574,620440,3542541,5053056,268643,128506,5790689,8973077,1559195,317336,33880,35529523,2842153,1217429,126480,1221680,470,5914,44360,2671,124626,24709,751298,69056,142396,3456,20193,16010,42678,12048,1485196,116048,9055955,660796,1459227,2729622,14482767,1732356,492,10751,,171524,27570,14755,2586,35537,4695,3858,795001,893510,3539626,2114905,40575,2770276,14779799,3819787,35412,928792,677433,13912,1070,9975,6709,9326,458,5325,,,104835,1106
NCIH23_LUNG,lung_NSC,RPMI 1640 + 10% FBS,Batch8,male,47.54813919,0080_CCLE_Batch8_LIP-NCIH23.wiff,0080_CCLE_Batch_8_HIL_NCIH23.wiff,0080_CCLE_Batch_8_CMH_NCIH23.wiff,6452,105387,192974,247323,255988,280747,2606967,437751,6005994,2069645,4145439,1025318,940394,5680429,6317709,3115261,151931,282583,6645384,371767,1001553,19452,285032,212,2905,58285,1223,64238,4831,236196,16130,99033,12295,15180,3095,35880,4144,1637768,233057,4538046,5087064,1806937,471863,4100982,1271260,355,11131,4249,15092,2188,11785,1535,23515,3844,1062,674445,2569943,650512,546136,18826,1088919,2344001,307232,10114,670490,90193,12735,1510,776,682,4385,351,3206,170,,15316,1064
NCIH209_LUNG,lung_small_cell,RPMI 1640 + 10% FBS,Batch8,male,136.8,0079_CCLE_Batch8_LIP-NCIH209.wiff,0079_CCLE_Batch_8_HIL_NCIH209.wiff,0079_CCLE_Batch_8_CMH_NCIH209.wiff,1590,36095,70377,65273,5202,26696,556643,56752,567220,58860,396182,32900,53351,125732,147953,79054,3644,11776,682961,124760,58562,965,8526,,298,16089,,2661,,7878,474,1890,657,88,363,1250,,122234,4735,897225,537437,33371,45596,691814,26437,,3135,,2907,671,229,826,9920,4440,,13119,1553,63853,675968,794,129190,107058,34821,1059,16375,37790,398,90,,,5000,549,4270,,,,
